"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 01, 2020","1,520.95","1,520.85","1,523.95","1,520.85","-","-1.91%"
"Jan 02, 2020","1,555.20","1,548.70","1,559.50","1,548.20","1.25K","2.25%"
"Jan 03, 2020","1,579.60","1,561.60","1,583.60","1,561.60","5.12K","1.57%"
"Jan 06, 2020","1,596.10","1,590.20","1,615.30","1,590.00","2.80K","1.04%"
"Jan 07, 2020","1,601.30","1,594.50","1,605.50","1,586.50","2.57K","0.33%"
"Jan 08, 2020","1,587.00","1,603.30","1,637.90","1,581.50","3.32K","-0.89%"
"Jan 09, 2020","1,581.40","1,583.00","1,587.50","1,570.20","1.43K","-0.35%"
"Jan 10, 2020","1,587.00","1,577.60","1,589.60","1,574.10","2.73K","0.35%"
"Jan 13, 2020","1,577.50","1,586.80","1,586.80","1,574.90","2.70K","-0.60%"
"Jan 14, 2020","1,571.20","1,573.20","1,573.90","1,563.40","1.76K","-0.40%"
"Jan 15, 2020","1,580.30","1,575.90","1,582.20","1,573.40","2.10K","0.58%"
"Jan 16, 2020","1,576.90","1,580.40","1,583.40","1,575.00","1.86K","-0.22%"
"Jan 17, 2020","1,587.20","1,578.60","1,588.00","1,577.10","1.54K","0.65%"
"Jan 19, 2020","1,557.05","1,557.40","1,559.05","1,556.45","-","-1.90%"
"Jan 20, 2020","1,561.25","1,557.20","1,562.70","1,556.65","-","0.27%"
"Jan 21, 2020","1,584.70","1,584.00","1,593.80","1,573.60","2.14K","1.50%"
"Jan 22, 2020","1,583.50","1,583.10","1,585.50","1,577.60","1.96K","-0.08%"
"Jan 23, 2020","1,592.10","1,585.00","1,593.50","1,580.10","1.75K","0.54%"
"Jan 24, 2020","1,599.00","1,589.10","1,601.40","1,584.00","2.62K","0.43%"
"Jan 27, 2020","1,604.60","1,610.00","1,612.80","1,602.80","1.93K","0.35%"
"Jan 28, 2020","1,596.90","1,606.70","1,607.10","1,593.40","10.91K","-0.48%"
"Jan 29, 2020","1,597.90","1,594.50","1,603.60","1,589.30","4.24K","0.06%"
"Jan 30, 2020","1,610.70","1,601.60","1,612.00","1,599.00","1.50K","0.80%"
"Jan 31, 2020","1,609.40","1,599.70","1,615.30","1,597.70","3.06K","-0.08%"
"Feb 03, 2020","1,604.00","1,618.80","1,619.60","1,595.00","1.02K","-0.34%"
"Feb 04, 2020","1,577.50","1,602.30","1,602.30","1,576.00","1.84K","-1.65%"
"Feb 05, 2020","1,584.70","1,579.40","1,587.00","1,573.00","2.05K","0.46%"
"Feb 06, 2020","1,591.70","1,580.70","1,592.40","1,579.30","1.31K","0.44%"
"Feb 07, 2020","1,595.00","1,591.00","1,598.30","1,588.40","0.84K","0.21%"
"Feb 10, 2020","1,600.70","1,599.50","1,601.50","1,594.20","1.66K","0.36%"
"Feb 11, 2020","1,591.10","1,597.30","1,597.90","1,587.10","1.86K","-0.60%"
"Feb 12, 2020","1,592.40","1,590.80","1,593.90","1,587.50","2.05K","0.08%"
"Feb 13, 2020","1,599.60","1,594.40","1,602.00","1,594.00","1.73K","0.45%"
"Feb 14, 2020","1,606.90","1,601.00","1,608.40","1,597.30","1.56K","0.46%"
"Feb 16, 2020","1,586.25","1,585.50","1,586.25","1,583.45","-","-1.29%"
"Feb 17, 2020","1,587.05","1,586.15","1,588.45","1,581.85","-","0.05%"
"Feb 18, 2020","1,624.00","1,605.00","1,628.30","1,603.50","1.62K","2.33%"
"Feb 19, 2020","1,632.20","1,625.00","1,634.80","1,623.30","1.40K","0.50%"
"Feb 20, 2020","1,640.80","1,634.00","1,645.50","1,627.70","1.31K","0.53%"
"Feb 21, 2020","1,669.10","1,645.50","1,671.20","1,642.40","1.86K","1.72%"
"Feb 24, 2020","1,697.10","1,673.30","1,711.80","1,673.30","9.96K","1.68%"
"Feb 25, 2020","1,670.20","1,681.60","1,681.60","1,650.00","3.36K","-1.59%"
"Feb 26, 2020","1,662.90","1,656.40","1,676.70","1,646.70","3.59K","-0.44%"
"Feb 27, 2020","1,661.40","1,668.00","1,680.30","1,656.00","3.96K","-0.09%"
